%MEM   RSS
%MEM   RSS
85.3 2546908
%MEM   RSS
85.7 2556656
%MEM   RSS
85.5 2552948
%MEM   RSS
85.6 2555620
%MEM   RSS
85.6 2555744
%MEM   RSS
85.5 2551976
%MEM   RSS
85.3 2546328
%MEM   RSS
85.7 2557184
%MEM   RSS
85.5 2551840
%MEM   RSS
85.4 2548708
%MEM   RSS
85.7 2558264
%MEM   RSS
85.5 2552692
%MEM   RSS
85.9 2563180
%MEM   RSS
85.5 2552832
%MEM   RSS
85.5 2551820
%MEM   RSS
85.5 2551644
%MEM   RSS
85.8 2562192
%MEM   RSS
85.8 2560148
%MEM   RSS
85.7 2556520
%MEM   RSS
86.0 2567860
%MEM   RSS
86.0 2566536
%MEM   RSS
85.3 2544620
%MEM   RSS
85.9 2563612
%MEM   RSS
86.1 2568612
%MEM   RSS
85.9 2564736
%MEM   RSS
85.5 2552452
%MEM   RSS
86.1 2569576
%MEM   RSS
85.3 2546176
%MEM   RSS
85.6 2554500
%MEM   RSS
85.5 2552136
%MEM   RSS
85.4 2550524
%MEM   RSS
85.8 2560828
%MEM   RSS
85.6 2555588
%MEM   RSS
86.0 2567684
%MEM   RSS
84.7 2528468
%MEM   RSS
85.5 2552688
%MEM   RSS
85.7 2557472
%MEM   RSS
85.7 2557320
%MEM   RSS
85.9 2563808
%MEM   RSS
85.4 2549236
%MEM   RSS
85.7 2559488
%MEM   RSS
85.7 2557400
%MEM   RSS
85.7 2558168
%MEM   RSS
86.0 2567568
%MEM   RSS
85.9 2564592
%MEM   RSS
86.0 2566220
%MEM   RSS
85.5 2552256
%MEM   RSS
85.8 2561344
%MEM   RSS
85.7 2558592
%MEM   RSS
85.7 2557852
%MEM   RSS
85.7 2558212
%MEM   RSS
85.2 2543516
%MEM   RSS
86.0 2567988
%MEM   RSS
85.8 2559744
%MEM   RSS
86.2 2572860
%MEM   RSS
86.3 2575464
%MEM   RSS
86.1 2570940
%MEM   RSS
86.1 2569084
%MEM   RSS
86.3 2574500
%MEM   RSS
85.7 2558152
%MEM   RSS
85.9 2564368
%MEM   RSS
85.9 2564848
%MEM   RSS
86.2 2571840
%MEM   RSS
86.0 2567920
%MEM   RSS
85.4 2549756
%MEM   RSS
85.7 2557716
%MEM   RSS
85.6 2554416
%MEM   RSS
85.7 2559328
%MEM   RSS
85.5 2553060
%MEM   RSS
85.8 2561832
%MEM   RSS
85.8 2561516
%MEM   RSS
85.7 2558200
%MEM   RSS
85.5 2551196
%MEM   RSS
85.3 2546448
%MEM   RSS
85.7 2557036
%MEM   RSS
85.8 2562016
%MEM   RSS
85.5 2552096
%MEM   RSS
85.8 2561460
%MEM   RSS
85.9 2564948
%MEM   RSS
85.6 2554972
%MEM   RSS
86.1 2569016
%MEM   RSS
85.6 2553944
%MEM   RSS
86.0 2566272
%MEM   RSS
85.1 2540544
%MEM   RSS
85.5 2552420
%MEM   RSS
85.8 2561176
%MEM   RSS
85.5 2551660
%MEM   RSS
85.7 2557684
%MEM   RSS
85.4 2549712
%MEM   RSS
85.0 2537368
%MEM   RSS
85.6 2554244
%MEM   RSS
85.9 2562568
%MEM   RSS
85.7 2559096
%MEM   RSS
85.6 2554140
%MEM   RSS
85.9 2562924
%MEM   RSS
85.7 2558032
%MEM   RSS
86.0 2567996
%MEM   RSS
85.9 2563076
%MEM   RSS
85.6 2555868
%MEM   RSS
85.7 2558320
%MEM   RSS
86.0 2566176
%MEM   RSS
85.9 2563684
%MEM   RSS
86.0 2567960
%MEM   RSS
85.5 2551984
%MEM   RSS
86.2 2573276
%MEM   RSS
86.0 2567132
%MEM   RSS
85.8 2562412
%MEM   RSS
85.6 2554236
%MEM   RSS
85.7 2557300
%MEM   RSS
86.0 2566940
%MEM   RSS
85.8 2561964
%MEM   RSS
86.2 2571492
%MEM   RSS
86.0 2567324
%MEM   RSS
85.9 2564016
%MEM   RSS
85.6 2556012
%MEM   RSS
86.1 2569588
%MEM   RSS
85.8 2560872
%MEM   RSS
85.4 2548528
%MEM   RSS
85.9 2564088
%MEM   RSS
85.7 2558836
%MEM   RSS
86.1 2568784
%MEM   RSS
85.7 2557332
%MEM   RSS
86.0 2566304
%MEM   RSS
85.9 2565440
%MEM   RSS
86.0 2566988
%MEM   RSS
86.0 2566516
%MEM   RSS
86.3 2576156
%MEM   RSS
86.2 2572456
%MEM   RSS
86.0 2568432
%MEM   RSS
85.9 2565292
%MEM   RSS
86.0 2565684
%MEM   RSS
86.2 2571496
%MEM   RSS
86.0 2567524
%MEM   RSS
85.9 2563072
%MEM   RSS
85.5 2552676
%MEM   RSS
85.9 2564948
%MEM   RSS
85.8 2560056
%MEM   RSS
86.2 2571924
%MEM   RSS
86.0 2567840
%MEM   RSS
85.9 2564964
%MEM   RSS
86.2 2571544
%MEM   RSS
86.1 2571220
%MEM   RSS
86.4 2578232
%MEM   RSS
86.0 2567740
%MEM   RSS
86.3 2575896
%MEM   RSS
86.2 2573052
%MEM   RSS
86.1 2569132
%MEM   RSS
85.9 2565032
%MEM   RSS
86.0 2566388
%MEM   RSS
85.5 2553444
%MEM   RSS
86.3 2577344
%MEM   RSS
86.1 2569936
%MEM   RSS
86.0 2566644
%MEM   RSS
86.3 2575808
%MEM   RSS
86.1 2569236
%MEM   RSS
86.4 2578836
%MEM   RSS
86.1 2569792
%MEM   RSS
86.2 2572304
%MEM   RSS
86.2 2573228
%MEM   RSS
86.1 2571244
%MEM   RSS
86.0 2567792
%MEM   RSS
86.3 2575292
%MEM   RSS
86.0 2568084
%MEM   RSS
85.7 2557056
%MEM   RSS
85.8 2561984
%MEM   RSS
86.2 2572932
%MEM   RSS
85.9 2565088
%MEM   RSS
85.8 2561748
%MEM   RSS
86.0 2566952
%MEM   RSS
85.7 2558476
%MEM   RSS
85.8 2559988
%MEM   RSS
85.7 2558160
%MEM   RSS
86.1 2569428
%MEM   RSS
85.7 2556908
%MEM   RSS
85.9 2565068
%MEM   RSS
86.0 2568116
%MEM   RSS
86.3 2574580
%MEM   RSS
85.7 2558968
%MEM   RSS
86.1 2570584
%MEM   RSS
85.8 2560448
%MEM   RSS
85.8 2562440
%MEM   RSS
85.8 2560396
%MEM   RSS
86.2 2574352
%MEM   RSS
85.6 2556380
%MEM   RSS
86.0 2567612
%MEM   RSS
85.2 2543556
%MEM   RSS
85.9 2562528
%MEM   RSS
85.9 2563588
%MEM   RSS
85.7 2556524
%MEM   RSS
85.8 2560688
%MEM   RSS
85.6 2555252
%MEM   RSS
86.0 2566564
%MEM   RSS
85.7 2559284
%MEM   RSS
85.9 2562920
%MEM   RSS
85.8 2561748
%MEM   RSS
85.7 2558032
%MEM   RSS
85.7 2559288
%MEM   RSS
86.2 2572096
%MEM   RSS
85.9 2562516
%MEM   RSS
86.0 2566696
%MEM   RSS
85.8 2562212
%MEM   RSS
85.4 2548892
%MEM   RSS
85.7 2557196
%MEM   RSS
