%MEM   RSS
%MEM   RSS
81.3 2426600
%MEM   RSS
81.1 2420528
%MEM   RSS
81.5 2432704
%MEM   RSS
81.2 2425112
%MEM   RSS
81.6 2436120
%MEM   RSS
81.5 2433404
%MEM   RSS
81.4 2431088
%MEM   RSS
81.4 2428952
%MEM   RSS
81.3 2427060
%MEM   RSS
81.7 2437344
%MEM   RSS
81.6 2436112
%MEM   RSS
81.5 2433216
%MEM   RSS
81.1 2421056
%MEM   RSS
81.0 2417284
%MEM   RSS
80.9 2416076
%MEM   RSS
80.9 2414792
%MEM   RSS
81.3 2426208
%MEM   RSS
81.2 2422696
%MEM   RSS
80.4 2399412
%MEM   RSS
80.8 2411392
%MEM   RSS
80.7 2407692
%MEM   RSS
80.6 2404484
%MEM   RSS
80.7 2408596
%MEM   RSS
80.6 2405916
%MEM   RSS
80.5 2403404
%MEM   RSS
80.4 2400868
%MEM   RSS
80.8 2411996
%MEM   RSS
80.7 2409472
%MEM   RSS
80.6 2406780
%MEM   RSS
80.5 2402624
%MEM   RSS
80.4 2400732
%MEM   RSS
80.4 2400828
%MEM   RSS
80.3 2397820
%MEM   RSS
80.2 2394532
%MEM   RSS
80.6 2404632
%MEM   RSS
80.5 2402600
%MEM   RSS
80.1 2389820
%MEM   RSS
80.4 2399976
%MEM   RSS
80.3 2397964
%MEM   RSS
80.1 2390700
%MEM   RSS
80.5 2402244
%MEM   RSS
80.4 2400344
%MEM   RSS
80.1 2390544
%MEM   RSS
80.5 2402224
%MEM   RSS
80.7 2409292
%MEM   RSS
80.8 2412868
%MEM   RSS
80.6 2405216
%MEM   RSS
80.5 2403564
%MEM   RSS
80.9 2414364
%MEM   RSS
80.8 2411624
%MEM   RSS
80.7 2409456
%MEM   RSS
80.6 2406484
%MEM   RSS
80.8 2411880
%MEM   RSS
80.7 2408564
%MEM   RSS
80.6 2405476
%MEM   RSS
80.8 2410648
%MEM   RSS
80.8 2411644
%MEM   RSS
80.7 2407716
%MEM   RSS
81.1 2419436
%MEM   RSS
81.0 2417628
%MEM   RSS
80.6 2407232
%MEM   RSS
80.6 2404688
%MEM   RSS
80.8 2413096
%MEM   RSS
80.7 2409924
%MEM   RSS
80.9 2414980
%MEM   RSS
80.7 2410112
%MEM   RSS
80.9 2413552
%MEM   RSS
80.8 2411784
%MEM   RSS
81.0 2416852
%MEM   RSS
80.9 2414108
%MEM   RSS
80.8 2412100
%MEM   RSS
80.6 2404748
%MEM   RSS
81.0 2416788
%MEM   RSS
80.9 2414628
